ticker,lookback,daily_sd,annual_sd,hurst,half_life,adf_pvalue,q_mr,vol_potential,score_two_pillar,score_additive,score_power_ratio,score_exp_ratio
BTC-USD,1Y,0.0238,0.4552,0.6110,53.1677,0.3087,0.4459,79.4300,35.4199,58.5276,0.4946,3.8293
BTC-USD,3Y,0.0247,0.4720,0.6341,102.7444,0.0249,0.3679,82.3433,30.2939,55.0112,0.3263,3.1128
BTC-USD,5Y,0.0270,0.5155,0.5930,766.0068,0.8140,0.2062,89.9433,18.5485,48.3508,0.1615,2.7997
ETH-USD,1Y,0.0338,0.6448,0.6422,53.7371,0.3010,0.3938,112.5033,44.3035,63.6278,0.5894,4.7740
ETH-USD,3Y,0.0348,0.6647,0.4971,72.9538,0.1174,0.6261,115.9700,72.6105,77.5669,1.0300,8.1777
ETH-USD,5Y,0.0361,0.6887,0.5000,132.3892,0.2076,0.5326,120.1700,63.9977,71.9536,0.7832,7.3668
XRP-USD,1Y,0.0353,0.6743,0.4988,50.2178,0.2165,0.6531,117.6500,76.8417,79.1883,1.2510,9.0092
XRP-USD,3Y,0.0398,0.7596,0.5576,273.5443,0.5890,0.3158,132.5333,41.8569,58.9493,0.4706,5.6249
XRP-USD,5Y,0.0417,0.7962,0.5483,423.7863,0.7204,0.2979,138.9233,41.3844,57.8736,0.4130,5.6766
GC=F,1Y,0.0184,0.2915,0.5024,19.7117,0.1415,0.7392,61.2000,45.2401,68.8331,1.0238,5.9995
GC=F,3Y,0.0136,0.2166,0.7320,379.3456,0.7115,0.0484,45.4867,2.2038,21.1017,0.0503,0.9080
GC=F,5Y,0.0120,0.1911,0.6663,8274.2628,0.9648,0.0615,40.1300,2.4686,19.7429,0.0147,0.6863
SI=F,1Y,0.0438,0.6956,0.6049,20.9591,0.1486,0.5635,146.0700,82.3121,73.8107,1.4943,9.3244
SI=F,3Y,0.0294,0.4666,0.6931,289.0827,0.7811,0.0584,97.9700,5.7172,42.6894,0.1628,2.3938
SI=F,5Y,0.0255,0.4041,0.6013,848.0078,0.9316,0.1747,84.8600,14.8278,44.4279,0.1389,2.5169
CL=F,1Y,0.0352,0.5580,0.5310,53.7922,0.6048,0.5334,117.1667,62.4999,72.0056,1.0540,7.7549
CL=F,3Y,0.0261,0.4138,0.4883,44.8821,0.1467,0.6935,86.8867,60.2518,76.3618,1.0189,7.1402
CL=F,5Y,0.0263,0.4171,0.4533,54.0630,0.1232,0.7346,87.5900,64.3458,79.1135,1.0681,7.9016
BZ=F,1Y,0.0347,0.5501,0.5223,53.2409,0.5327,0.5599,115.5167,64.6802,73.5952,1.0837,7.9364
BZ=F,3Y,0.0251,0.3979,0.4926,48.4697,0.2548,0.6617,83.5533,55.2889,73.1245,0.9270,6.6182
BZ=F,5Y,0.0250,0.3976,0.4568,56.7757,0.1641,0.7170,83.4833,59.8565,76.4126,0.9808,7.3388
