ticker,lookback,rows,daily_sd,annual_sd,hurst,half_life,adf_stat,adf_pvalue
BTC-USD,1Y,365,0.023829,0.455246,0.610979,53.167690,-1.950391,0.308739
BTC-USD,3Y,1095,0.024703,0.471953,0.634070,102.744445,-3.122253,0.024950
BTC-USD,5Y,1825,0.026983,0.515511,0.593049,766.006769,-0.817316,0.813983
ETH-USD,1Y,365,0.033751,0.644819,0.642223,53.737084,-1.967596,0.300959
ETH-USD,3Y,1095,0.034791,0.664674,0.497132,72.953825,-2.492244,0.117373
ETH-USD,5Y,1825,0.036051,0.688746,0.500021,132.389182,-2.196412,0.207550
XRP-USD,1Y,365,0.035295,0.674314,0.498826,50.217755,-2.172077,0.216535
XRP-USD,3Y,1095,0.039760,0.759620,0.557551,273.544349,-1.385993,0.588972
XRP-USD,5Y,1825,0.041677,0.796238,0.548321,423.786270,-1.086564,0.720400
GC=F,1Y,251,0.018360,0.291462,0.502426,19.711671,-2.400724,0.141532
GC=F,3Y,755,0.013646,0.216623,0.732022,379.345604,-1.108993,0.711472
GC=F,5Y,1256,0.012039,0.191115,0.666260,8274.262794,0.081688,0.964788
SI=F,1Y,251,0.043821,0.695639,0.604892,20.959096,-2.376101,0.148596
SI=F,3Y,754,0.029391,0.466570,0.693149,289.082658,-0.920777,0.781053
SI=F,5Y,1255,0.025458,0.404134,0.601337,848.007752,-0.255595,0.931562
CL=F,1Y,251,0.035150,0.557986,0.531030,53.792184,-1.352587,0.604784
CL=F,3Y,754,0.026066,0.413789,0.488262,44.882083,-2.382566,0.146718
CL=F,5Y,1255,0.026277,0.417134,0.453304,54.063021,-2.468887,0.123229
BZ=F,1Y,251,0.034655,0.550123,0.522333,53.240850,-1.501680,0.532680
BZ=F,3Y,755,0.025066,0.397909,0.492591,48.469724,-2.074738,0.254793
BZ=F,5Y,1256,0.025045,0.397582,0.456792,56.775718,-2.324891,0.164066
